2011,"5           ",245244.11,245244.11
2011,"6           ",458910.82,704154.94
2011,"7           ",1101828.58,1805983.52
2011,"8           ",1263116.98,3069100.50
2011,"9           ",502073.85,3571174.34
2011,"10          ",1983424.69,5554599.03
2011,"11          ",737839.82,6292438.85
2011,"12          ",901709.29,7194148.14
2011,grand_total,NULL,7194148.14
2012,"1           ",1955076.24,1955076.24
2012,"2           ",954250.12,2909326.36
2012,"3           ",1553149.59,4462475.94
2012,"4           ",1045027.47,5507503.42
2012,"5           ",1282871.57,6790374.99
2012,"6           ",1600184.37,8390559.36
2012,"7           ",1330120.41,9720679.77
2012,"8           ",910410.19,10631089.96
2012,"9           ",1367513.02,11998602.97
2012,"10          ",1063719.09,13062322.06
2012,"11          ",976669.90,14038991.96
2012,"12          ",1257749.94,15296741.90
2012,grand_total,NULL,15296741.90
2013,"1           ",1070675.39,1070675.39
2013,"2           ",987236.67,2057912.06
2013,"3           ",1454784.21,3512696.27
2013,"4           ",1206991.88,4719688.15
2013,"5           ",1330563.80,6050251.95
2013,"6           ",2124862.14,8175114.10
2013,"7           ",2105564.47,10280678.56
2013,"8           ",1736004.16,12016682.73
2013,"9           ",2196852.65,14213535.38
2013,"10          ",2533784.16,16747319.54
2013,"11          ",2245035.60,18992355.14
2013,"12          ",2366863.29,21359218.43
2013,grand_total,NULL,21359218.43
2014,"1           ",2607375.98,2607375.98
2014,"2           ",1336516.36,3943892.34
2014,"3           ",3484764.72,7428657.06
2014,"4           ",1796448.34,9225105.40
2014,"5           ",3168706.84,12393812.24
2014,"6           ",49005.84,12442818.08
2014,grand_total,NULL,12442818.08
